index,network,title,imdb,engagement,date_aired,format,monster_gender,motive,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
147,ABC,The Demon of the Dugout,7.5,51.0,1979-11-03,TV Series,Male,Theft,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
148,ABC,The Hairy Scare of the Devil Bear,7.3,53.0,1979-11-10,TV Series,Male,Treasure,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
149,ABC,Twenty Thousand Screams Under the Sea,7.6,47.0,1979-11-17,TV Series,Male,Treasure,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
150,ABC,I Left My Neck in San Francisco,8.0,52.0,1979-11-24,TV Series,Female,Theft,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
151,ABC,When You Wish Upon a Star Creature,7.2,48.0,1979-12-01,TV Series,Male,Theft,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
152,ABC,"The Ghoul, the Bat and the Ugly",7.7,52.0,1979-12-08,TV Series,Male,Theft,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
154,ABC,Rocky Mountain Yiiiii!,7.5,48.0,1979-12-15,TV Series,Male,Treasure,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
155,ABC,The Sorcerer's a Menace,7.3,47.0,1979-12-22,TV Series,Male,Theft,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
156,ABC,"Lock the Door, It's a Minotaur!",7.5,46.0,1979-12-29,TV Series,Male,Treasure,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
158,ABC,A Close Encounter with a Strange Kind,7.1,35.0,1980-11-08,TV Series (segmented),Male,Experimentation,,,,Casey Kasem,Don Messick
159,ABC,A Fit Night Out for Bats,7.1,35.0,1980-11-08,TV Series (segmented),Male,Food,,,,Casey Kasem,Don Messick
160,ABC,The Chinese Food Factory,7.1,35.0,1980-11-08,TV Series (segmented),Male,Theft,,,,Casey Kasem,Don Messick
161,ABC,Scooby's Desert Dilemma,7.2,36.0,1980-11-15,TV Series (segmented),Male,Experimentation,,,,Casey Kasem,Don Messick
162,ABC,The Old Cat and Mouse Game,7.2,37.0,1980-11-15,TV Series (segmented),Male,Food,,,,Casey Kasem,Don Messick
164,ABC,Mummy's the Word,7.2,36.0,1980-11-22,TV Series (segmented),Male,Trespassing,,,,Casey Kasem,Don Messick
168,ABC,Scooby's Fantastic Island,7.1,31.0,1980-11-29,TV Series (segmented),Male,Assistance,,,,Casey Kasem,Don Messick
169,ABC,Long John Scrappy,6.8,32.0,1980-11-29,TV Series (segmented),Male,Abduction,,,,Casey Kasem,Don Messick
174,ABC,Swamp Witch,6.7,36.0,1980-12-13,TV Series (segmented),Female,Food,,,,Casey Kasem,Don Messick
175,ABC,Sir Scooby and the Black Knight,7.0,29.0,1980-12-13,TV Series (segmented),Male,Trespassing,,,,Casey Kasem,Don Messick
176,ABC,Waxworld,6.7,36.0,1980-12-20,TV Series (segmented),Male,Abduction,,,,Casey Kasem,Don Messick
179,ABC,South Seas Scare,7.0,32.0,1980-12-27,TV Series (segmented),Male,Trespassing,,,,Casey Kasem,Don Messick
181,ABC,Alaskan King Coward,7.0,32.0,1980-12-27,TV Series (segmented),Male,Food,,,,Casey Kasem,Don Messick
182,ABC,"Et Tu, Scoob?",6.7,29.0,1981-01-03,TV Series (segmented),Male,Competition,,,,Casey Kasem,Don Messick
183,ABC,Soggy Bog Scooby,6.7,29.0,1981-01-03,TV Series (segmented),Male,Food,,,,Casey Kasem,Don Messick
187,ABC,Moonlight Madness,7.0,32.0,1981-01-10,TV Series (segmented),Male,Loneliness,,,,Casey Kasem,Don Messick
189,ABC,Scooby at the Center of the World,7.1,31.0,1981-01-17,TV Series (segmented),Male,Trespassing,,,,Casey Kasem,Don Messick
190,ABC,Scooby's Trip to Ahz,7.1,31.0,1981-01-17,TV Series (segmented),Female,Imagination,,,,Casey Kasem,Don Messick
191,ABC,A Fright at the Opera,7.2,31.0,1981-01-24,TV Series (segmented),Male,Trespassing,,,,Casey Kasem,Don Messick
192,ABC,Robot Ranch,7.1,31.0,1981-01-24,TV Series (segmented),Male,Abduction,,,,Casey Kasem,Don Messick
193,ABC,Surprised Spies,7.1,31.0,1981-01-24,TV Series (segmented),Male,Theft,,,,Casey Kasem,Don Messick
194,ABC,The Invasion of the Scooby Snatchers,7.2,31.0,1981-01-31,TV Series (segmented),Male,Conquer,,,,Casey Kasem,Don Messick
197,ABC,Scooby-Nocchio,7.4,32.0,1981-09-19,TV Series (segmented),Male,Imagination,,,,Casey Kasem,Don Messick
198,ABC,Lighthouse Keeper Scooby,7.4,32.0,1981-09-19,TV Series (segmented),Male,Trespassing,,,,Casey Kasem,Don Messick
199,ABC,Scooby's Roots,7.4,32.0,1981-09-19,TV Series (segmented),Male,Mistake,,,,Casey Kasem,Don Messick
200,ABC,Scooby's Escape from Atlantis,7.2,30.0,1981-09-26,TV Series (segmented),Male,Trespassing,,,,Casey Kasem,Don Messick
201,ABC,Excalibur Scooby,7.2,30.0,1981-09-26,TV Series (segmented),Male,Assistance,,,,Casey Kasem,Don Messick
202,ABC,Scooby Saves the World,7.1,27.0,1981-09-26,TV Series (segmented),Male,Conquer,,,,Casey Kasem,Don Messick
204,ABC,Rickshaw Scooby,7.1,29.0,1981-10-03,TV Series (segmented),Male,Trespassing,,,,Casey Kasem,Don Messick
205,ABC,Scooby's Luck of the Irish,7.2,30.0,1981-10-03,TV Series (segmented),Male,Trespassing,,,,Casey Kasem,Don Messick
207,ABC,Scooby's House of Mystery,7.1,27.0,1981-10-10,TV Series (segmented),Female,Experimentation,,,,Casey Kasem,Don Messick
208,ABC,Sweet Dreams Scooby,7.1,27.0,1981-10-10,TV Series (segmented),Male,Imagination,,,,Casey Kasem,Don Messick
209,ABC,Scooby-Doo 2000,7.1,29.0,1981-10-17,TV Series (segmented),Male,Automated,,,,Casey Kasem,Don Messick
210,ABC,Punk Rock Scooby,7.1,29.0,1981-10-17,TV Series (segmented),Male,Abduction,,,,Casey Kasem,Don Messick
211,ABC,Canine to Five,7.4,27.0,1981-10-17,TV Series (segmented),Male,Food,,,,Casey Kasem,Don Messick
212,ABC,Hard Hat Scooby,7.1,27.0,1981-10-24,TV Series (segmented),Male,Food,,,,Casey Kasem,Don Messick
213,ABC,Hothouse Scooby,7.1,29.0,1981-10-24,TV Series (segmented),Male,Food,,,,Casey Kasem,Don Messick
216,ABC,Tenderbigfoot,7.1,32.0,1981-10-31,TV Series (segmented),Male,Theft,,,,Casey Kasem,Don Messick
217,ABC,Scooby and the Beanstalk,7.1,32.0,1981-10-31,TV Series (segmented),Male,Food,,,,Casey Kasem,Don Messick
220,ABC,Catfish Burglar Caper,7.1,24.0,1982-10-02,TV Series (segmented),Male,Theft,,,,Casey Kasem,Don Messick
230,ABC,Comic Book Caper,7.4,23.0,1982-11-06,TV Series (segmented),Male,Theft,,,,Casey Kasem,Don Messick
235,ABC,Scooby-Doo and Genie-Poo,7.1,25.0,1982-11-20,TV Series (segmented),Female,Abduction,,,,Casey Kasem,Don Messick
237,ABC,Captain Canine Caper,7.2,23.0,1982-11-27,TV Series (segmented),Male,Extortion,,,,Casey Kasem,Don Messick
238,ABC,The Incredible Cat Lady Caper,7.0,23.0,1982-12-04,TV Series (segmented),Female,Theft,,,,Casey Kasem,Don Messick
240,ABC,One Million Years Before Lunch,7.1,24.0,1982-12-11,TV Series (segmented),Male,Abduction,,,,Casey Kasem,Don Messick
241,ABC,Where's the Wolf,7.4,24.0,1982-12-11,TV Series (segmented),Male,Food,,,,Casey Kasem,Don Messick
243,ABC,Snow Job Too Small,6.8,26.0,1982-12-19,TV Series (segmented),Male,Inheritance,,,,Casey Kasem,Don Messick
244,ABC,Scooby the Barbarian,7.4,27.0,1983-09-10,TV Series (segmented),Male,Theft,,Heather North,,Casey Kasem,Don Messick
245,ABC,No Sharking Zone,7.4,27.0,1983-09-10,TV Series (segmented),Male,Treasure,,Heather North,,Casey Kasem,Don Messick
247,ABC,The Quagmire Quake Caper,7.5,21.0,1983-09-10,TV Series (segmented),Male,Theft,,Heather North,,Casey Kasem,Don Messick
248,ABC,Hound of the Scoobyvilles,7.5,17.0,1983-09-17,TV Series (segmented),Male,Inheritance,,Heather North,,Casey Kasem,Don Messick
249,ABC,The Dinosaur Deception,7.5,17.0,1983-09-17,TV Series (segmented),Male,Treasure,,Heather North,,Casey Kasem,Don Messick
250,ABC,The Creature Came from The Chemlab,7.7,20.0,1983-09-17,TV Series (segmented),Male,Theft,,Heather North,,Casey Kasem,Don Messick
251,ABC,"No Thanks, Masked Manx",7.7,20.0,1983-09-17,TV Series (segmented),Male,Theft,,Heather North,,Casey Kasem,Don Messick
252,ABC,Scooby of the Jungle,7.2,18.0,1983-09-24,TV Series (segmented),Male,Smuggling,,Heather North,,Casey Kasem,Don Messick
254,ABC,Scooby Roo,7.5,15.0,1983-10-01,TV Series (segmented),Male,Natural Resource,,Heather North,,Casey Kasem,Don Messick
256,ABC,Wizards and Warlocks,7.3,15.0,1983-10-08,TV Series (segmented),Male,Competition,,Heather North,,Casey Kasem,Don Messick
257,ABC,Scoobsie,7.3,15.0,1983-10-08,TV Series (segmented),Male,Competition,,Heather North,,Casey Kasem,Don Messick
259,ABC,The Crazy Carnival Caper,7.1,17.0,1983-10-15,TV Series (segmented),Male,Theft,,Heather North,,Casey Kasem,Don Messick
260,ABC,Scooby and the Minotaur,7.4,18.0,1983-10-29,TV Series (segmented),Male,Treasure,,Heather North,,Casey Kasem,Don Messick
261,ABC,Scooby Pinch Hits,7.4,18.0,1983-10-29,TV Series (segmented),Male,Competition,,Heather North,,Casey Kasem,Don Messick
262,ABC,The Fall Dog,7.2,20.0,1983-11-05,TV Series (segmented),Male,Competition,,Heather North,,Casey Kasem,Don Messick
263,ABC,The Scooby Coupe,7.2,20.0,1983-11-05,TV Series (segmented),Male,Competition,,Heather North,,Casey Kasem,Don Messick
265,ABC,Scooby ala Mode,6.5,21.0,1983-11-26,TV Series (segmented),Male,Competition,,Heather North,,Casey Kasem,Don Messick
266,ABC,Where's Scooby-Doo?,6.5,19.0,1983-12-03,TV Series,Male,Smuggling,,Heather North,,Casey Kasem,Don Messick
267,ABC,Wedding Bell Boos!,6.5,23.0,1983-12-10,TV Series,Male,Treasure,,Heather North,,Casey Kasem,Don Messick
268,ABC,"Happy Birthday, Scooby-Doo",7.2,45.0,1984-09-08,TV Series,Male,Theft,Frank Welker,Heather North,Marla Scott,Casey Kasem,Don Messick
269,ABC,Scooby's Peep-Hole Pandemonium,7.2,29.0,1984-09-15,TV Series (segmented),Female,Theft,,Heather North,,Casey Kasem,Don Messick
270,ABC,The Hand of Horror,7.2,29.0,1984-09-15,TV Series (segmented),Male,Theft,,Heather North,,Casey Kasem,Don Messick
271,ABC,Scoo-Be or Not Scoo-Be?,7.5,29.0,1984-09-22,TV Series (segmented),Male,Natural Resource,,Heather North,,Casey Kasem,Don Messick
272,ABC,The Stoney Glare Stare,7.5,29.0,1984-09-22,TV Series (segmented),Male,Treasure,,Heather North,,Casey Kasem,Don Messick
273,ABC,Mission: Un-Doo-Able,7.0,26.0,1984-09-29,TV Series (segmented),Male,Conquer,,Heather North,,Casey Kasem,Don Messick
274,ABC,The Bee Team,7.0,26.0,1984-09-29,TV Series (segmented),Male,Competition,,Heather North,,Casey Kasem,Don Messick
275,ABC,Doom Service,7.1,24.0,1984-10-06,TV Series (segmented),Male,Theft,,Heather North,,Casey Kasem,Don Messick
