index,network,title,imdb,engagement,format,monster_gender,motive
325,Cartoon Network,The Night the Clown Cried II - Tears of Doom,8.4,197.0,TV Series,Male,Abduction
326,Cartoon Network,Web of the Dreamweaver!,8.2,192.0,TV Series,Male,Competition
327,Cartoon Network,The Hodag of Horror,8.4,188.0,TV Series,Male,Theft
328,Cartoon Network,Art of Darkness,7.7,177.0,TV Series,Male,Competition
329,Cartoon Network,The Gathering Gloom,8.2,172.0,TV Series,Male,Natural Resource
330,Cartoon Network,Night on Haunted Mountain,8.3,183.0,TV Series,Female,Treasure
331,Cartoon Network,Grrim Judgment,8.3,176.0,TV Series,Male,Competition
332,Cartoon Network,Night Terrors,9.1,202.0,TV Series,Male,Competition
333,Cartoon Network,Scarebear,8.2,169.0,TV Series,Male,Preservation
334,Cartoon Network,Wrath of the Krampus,8.9,207.0,TV Series,Male,Theft
335,Cartoon Network,Heart of Evil,7.6,174.0,TV Series,Male,Theft
336,Cartoon Network,Theater of Doom,8.6,180.0,TV Series,Male,Theft
337,Warner Home Video,Big Top Scooby-Doo!,6.9,1442.0,Movie,Male,Theft
338,Warner Home Video,Scooby-Doo! Haunted Holidays,7.0,392.0,TV Series,Male,Competition
